favorite_count,source,text,location,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for Android,b'@Jazzman70910273 Spain Creates a List of Those Who  Refuse to Get COVID-19 Vaccine https://t.co/VBcUwRxJuP',"Toronto, Ontario",Jazzman70910273,False,Wed Jan 20 05:05:18 +0000 2021,1,b'1351757672379518976'
0,iweller.com,b'More contagious UK coronavirus variant detected in at least 60 countries: WHO - The UK coronavirus strain has been\xe2\x80\xa6 https://t.co/HnOoSmtqUq',,,False,Wed Jan 20 05:04:59 +0000 2021,0,b'1351757593035698176'
0,Twitter Web App,"b""Biden leads observance of America's 400,000 COVID-19 dead https://t.co/JZTGmx5sxZ via @Reuters""",,,False,Wed Jan 20 05:04:27 +0000 2021,0,b'1351757459166285824'
0,Twitter Web App,b'WORKING smoke alarms save lives!  Check yours today. https://t.co/ShfvlkGDVF',,,False,Wed Jan 20 05:04:49 +0000 2021,1,b'1351757551814258688'
0,Twitter for iPhone,"b'24 million total U.S. Covid-19 infections were reported on Monday, Jan. 18. \n\nThe nation passed the 400,000 mark fo\xe2\x80\xa6 https://t.co/rJmC4mWdoI'","Durham, N.C., aka #DurhamNC",MillikenReports,False,Wed Jan 20 05:04:31 +0000 2021,0,b'1351757476123668480'
0,Twibble.io,b'SIR Simulation of COVID-19 Pandemic in Malaysia: Will the Vaccination Program be Effective?. (arXiv:2101.07494v1 [p\xe2\x80\xa6 https://t.co/6qmpcee5zP',"Arlington, VA and Worldwide ",,False,Wed Jan 20 05:05:12 +0000 2021,0,b'1351757647461150722'
0,Echobox,"b'Expect changes to gatherings, personal services and shopping in our COVID-19 restrictions https://t.co/eCWGtbX12x'","Winnipeg, Manitoba",,False,Wed Jan 20 05:04:47 +0000 2021,0,b'1351757544566489088'
0,Twitter for iPhone,b'Did alagari try out all the Pesticides manufactured in TN before giving it to farmers or Did he burst any crackers\xe2\x80\xa6 https://t.co/hHNMBOqhxx',Dubai,,False,Wed Jan 20 05:04:26 +0000 2021,0,b'1351757454745300993'
2,Twitter for iPhone,b'Harambe would have never let COVID-19 happen.',"Toledo, OH",,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757611033571335'
0,The Social Jukebox,"b""When things feel uneasy in your life, refocus on love. Loving yourself. Your loved ones. After all, it's the one th\xe2\x80\xa6 https://t.co/cVjFX3nS2z""",Sun Valley Idaho,,False,Wed Jan 20 05:04:24 +0000 2021,0,b'1351757447619375106'
0,Twitter for iPad,b'ICYMI: This hospital has been called Ontario\xe2\x80\x99s COVID \xe2\x80\x98ground zero\xe2\x80\x99  - @TorontoStar: https://t.co/SZOUj7Lojt\xe2\x80\xa6 https://t.co/MH5qJgBwWz',"British Columbia, Canada",,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757609821302787'
0,Twitter for Android,"b'\xe2\x80\x9cTo heal, we must remember. It\xe2\x80\x99s hard sometimes to remember. But that\xe2\x80\x99s how we heal. It\xe2\x80\x99s important to do that as a\xe2\x80\xa6 https://t.co/HUFasaxThq'",New York,,False,Wed Jan 20 05:05:01 +0000 2021,0,b'1351757602145914881'
1,Twitter Web App,b'@TheDailyShow Found this about Dr. Drew.\n\nhttps://t.co/QZrTMPcyEk',"Missouri, USA",TheDailyShow,False,Wed Jan 20 05:05:16 +0000 2021,1,b'1351757666687864833'
2,TweetDeck,b'Random fact:\nTo have one minute of silence for every covid-19 death in Utah you would have to be silent for more than a day. (25+ hours)',Salt Lake City,,False,Wed Jan 20 05:04:56 +0000 2021,0,b'1351757580004073474'
0,Twitter for iPhone,b'Mental note: Buy air quality monitor / CO2 meter https://t.co/VdI9bA0MpT',San Francisco,,False,Wed Jan 20 05:05:04 +0000 2021,0,b'1351757615575965697'
1,Twitter for iPhone,b'For full remix of this song CLICK on this link https://t.co/MK9mmbiiJJ #spotify #COVID19 #ImpeachmentDay #JoeBiden\xe2\x80\xa6 https://t.co/I9eA060LdW',,,False,Wed Jan 20 05:05:10 +0000 2021,0,b'1351757639051427841'
4,Hootsuite Inc.,b'Fighting #COVID19! Day &amp; Night working for Hebei! \n\nEvery mark left by a PPE has been worth it. Our hard work and m\xe2\x80\xa6 https://t.co/gHqwCxhGHr',Global,,False,Wed Jan 20 05:05:02 +0000 2021,0,b'1351757608017940483'
15,SocialNewsDesk,"b'Lloyd Combs, one of the most recognizable media members in Southwest Virginia for much of the last four decades, di\xe2\x80\xa6 https://t.co/7K0ejmgzLg'","ÜT: 36.319708,-82.363649",,False,Wed Jan 20 05:05:09 +0000 2021,6,b'1351757635679350787'
1,Twitter for iPhone,b'LOOK: Public Works Minister (MPW) Archt. Eduard Guerra turned over completed 100-bed Covid-19 Isolation Centers to\xe2\x80\xa6 https://t.co/rCCx8lFVPs',Cotabato City,,False,Wed Jan 20 05:05:18 +0000 2021,1,b'1351757675449643011'
0,TweetDeck,b'PHIS WARN OF CRITICAL TIME IN COMING WEEKS IN TERMS OF COVID-19\nRead more:\nhttps://t.co/eMRokRYG8T',,,False,Wed Jan 20 05:04:40 +0000 2021,0,b'1351757515994800128'
1,Twitter Web App,b'China rushes to build quarantine center in new #Covid19 hotspot #Hebei.\n#lockdown #ChinaVirus #Shijiazhuang \n\nhttps://t.co/03ma1XI7ha',"Garden City, ID",,False,Wed Jan 20 05:05:10 +0000 2021,0,b'1351757638472667136'
0,Twitter for Android,b'#Biden sets the standard high. \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\nTrue Presidential to the bone.\nWhat an honorable man.\n#JoeBiden \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\xf0\x9f\x98\xb7\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x80\xa6 https://t.co/FVi5v3KbtO',"Milwaukee, WI",,False,Wed Jan 20 05:04:48 +0000 2021,0,b'1351757547607355392'
2,Twitter for Android,"b'According to the Department of Veterans Affairs, 405,399 Americans died in the roughly 4 years we were involved in\xe2\x80\xa6 https://t.co/AsDFyIppd0'",,,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757609649532929'
48,Twitter for iPhone,b'#Teamwork with our partners @SCVSHERIFF and @CHP_Newhall \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/G3TNhK9brE',"Los Angeles, California, USA",,False,Wed Jan 20 05:04:52 +0000 2021,5,b'1351757562773835778'
1,Twitter for iPhone,"b'UK Covid-19 strain detected in at Least 60 Countries WHO said Wednesday, 10 more than a week ago. The South African\xe2\x80\xa6 https://t.co/V0ssWmqdOj'",Jordan,,False,Wed Jan 20 05:05:08 +0000 2021,0,b'1351757633410256898'
5,Twitter for iPad,"b'Black Friday (28/11/20), Christmas (25/12/20) and Incwala (02/01/21).\n\nTo compare, the first wave was controlled th\xe2\x80\xa6 https://t.co/0Now9njDBh'",Swaziland,,False,Wed Jan 20 05:04:24 +0000 2021,3,b'1351757448219140105'
1,Twitter for Android,"b'Saying goodbye to #Trump is saying goodbye to #division, #polarization, #ConspiracyTheories &amp; failure in dealing wi\xe2\x80\xa6 https://t.co/P2wnJ2PH9N'","Silver Spring, MD U.S.A",,False,Wed Jan 20 05:05:01 +0000 2021,0,b'1351757600870772736'
4,SocialFlow,b'Singapore Airlines has set up pre-departure coronavirus tests for passengers through its booking platforms as part\xe2\x80\xa6 https://t.co/HDWikrjdeO',,,False,Wed Jan 20 05:05:08 +0000 2021,2,b'1351757632747556866'
0,Twitter for Android,b'@hwinkler4real Me too. Weirdly I feel better seeing in the news\nthat people in Missouri are suffering more mental\nd\xe2\x80\xa6 https://t.co/FgJpR7ge2J',"Springfield, Mo",hwinkler4real,False,Wed Jan 20 05:05:06 +0000 2021,0,b'1351757624698679297'
0,Twitter for Android,"b""Shubhodaya \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\nToday's News - 20th, Jan 2021:\nTop Headlines\nMysuru News:\n1. Mysuru reports 34 new COVID-19 positive\xe2\x80\xa6 https://t.co/FJJCmJSBz6""",,,False,Wed Jan 20 05:04:24 +0000 2021,0,b'1351757446860083202'
27,Twitter Web App,"b'Any malaria-like symptoms should be treated as COVID-19 infection until proven otherwise, Lagos State Governor Baba\xe2\x80\xa6 https://t.co/zeD1oIxUdg'","Lagos, Nigeria",,False,Wed Jan 20 05:05:15 +0000 2021,10,b'1351757662468247554'
65,Twitter for iPhone,b'She passed away RIP\xf0\x9f\x92\x94\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/Hs6mtFAKR8',"New Orleans, LA",,False,Wed Jan 20 05:04:40 +0000 2021,0,b'1351757515382525953'
0,ThreadReaderApp,"b'@s5_yoo Bonjour, the unroll you asked for: AMAZING\xe2\x80\x94The Pfizer / BioNTech mRNA #COVID19 vaccine\xe2\x80\x99s RNA is 4284 charac\xe2\x80\xa6 https://t.co/95REdumZEm'",Wherever threads are written..,s5_yoo,False,Wed Jan 20 05:04:38 +0000 2021,0,b'1351757507291701253'
12,Twitter Web App,"b'Another of my American cousins died of #COVID19  today.\n\nWith 411,000+ US covid deaths + 171,000+ new cases there y\xe2\x80\xa6 https://t.co/4m34hb51zv'",Scotland and Canada,,False,Wed Jan 20 05:05:12 +0000 2021,0,b'1351757647406575617'
262,Twitter for iPhone,"b'13) Altogether, it\xe2\x80\x99s a masterful piece of scientific engineering that took decades to perfect. Lots of great biolog\xe2\x80\xa6 https://t.co/Wfg0Oke3zw'",Washington DC & Virginia,DrEricDing,False,Wed Jan 20 05:05:19 +0000 2021,39,b'1351757677710495744'
1,Twitter for Android,b'@VOAChinese China accuses USA lie and USA accuses China hide the truth but the death of hundred of thousands from c\xe2\x80\xa6 https://t.co/hL1osmPYNg',Singapore ,VOAChinese,False,Wed Jan 20 05:04:38 +0000 2021,0,b'1351757507241209856'
0,Twitter for iPhone,b'That\xe2\x80\x99s why the \xe2\x80\x9cwe survived trump\xe2\x80\x9d tweets are not it https://t.co/BqsnLWAvwK',screaming into the void,,False,Wed Jan 20 05:04:34 +0000 2021,0,b'1351757487058411521'
0,Mirage News Posts,b'Vigilance Around Water Urged As State Heats Up \nhttps://t.co/TtjuNvlCSt\n#Andrews #AusPol #Australia #Commissioner\xe2\x80\xa6 https://t.co/gTLaq4M9Sw',Australia,,False,Wed Jan 20 05:04:39 +0000 2021,0,b'1351757508843433985'
0,Twitter for iPhone,"b'When you allow the pandemic to rage unchecked, you allow the virus to mutate. #COVID19 https://t.co/UT68QbybjY'",,,False,Wed Jan 20 05:05:01 +0000 2021,0,b'1351757601206366208'
0,Twitter for Android,b'@Jazzman70910273 Spain Creates a List of Those Who  Refuse to Get COVID-19 Vaccine https://t.co/VBcUwRxJuP',"Toronto, Ontario",Jazzman70910273,False,Wed Jan 20 05:05:02 +0000 2021,1,b'1351757608303079424'
0,Hootsuite Inc.,b'Total 6.31 lakh healthcare workers got Covid-19 vaccine jabs till Tuesday evening: Centre \xe2\x80\x93 ET HealthWorld https://t.co/2LmFGVyiJ8',,,False,Wed Jan 20 05:05:18 +0000 2021,0,b'1351757675109998592'
37,Twitter Media Studio - LiveCut,"b""#Breaking | Congress MP @KartiPC asks PM @NarendraModi to take the COVID-19 vaccine shot first. 'After talking to a\xe2\x80\xa6 https://t.co/6vCmdSx7bk""",India,,False,Wed Jan 20 05:04:50 +0000 2021,15,b'1351757558084562947'
0,WordPress.com,b'Peptide reduced COVID-19 symptoms in mice \xe2\x80\x94\xc2\xa0ScienceDaily https://t.co/mPtgaFNjAb',gujarat,,False,Wed Jan 20 05:04:45 +0000 2021,0,b'1351757535318061057'
0,Twitter for iPhone,"b'If stomach acid is a thing, how come it wont kill the coronavirus?? \xf0\x9f\xa4\x94Lets start asking the right questions america'",Punta Cana,,False,Wed Jan 20 05:04:31 +0000 2021,0,b'1351757477084323842'
0,IFTTT,b'Netflix Tops 200 Million Subscribers as It Keeps Growing in Pandemic Netflix topped subscriber growth expectations\xe2\x80\xa6 https://t.co/OKFpay6q6q',India,,False,Wed Jan 20 05:04:33 +0000 2021,0,b'1351757484067844097'
0,Twitter for Android,"b""@BTSLovatic @Cy_La_Ng I'm sure we gotta wait like maybe 2 more years to see them. Every country .. state .. provinc\xe2\x80\xa6 https://t.co/1Hhs7FW8kk""",Canada,BTSLovatic,False,Wed Jan 20 05:04:28 +0000 2021,0,b'1351757465361276929'
1,Twitter for Android,"b'Study says Pfizer vaccine immunity is so strong, it might prevent COVID-19 transmission\n\nhttps://t.co/3M5ZPRcNfr'","Kampala, Uganda",,False,Wed Jan 20 05:04:43 +0000 2021,0,b'1351757526992351234'
1,Twitter for iPhone,"b'I originally tweeted this about three months ago and well... it was scarily accurate. 400,000+ Americans have died\xe2\x80\xa6 https://t.co/b8vsfCYvld'","Georgia, USA",,False,Wed Jan 20 05:04:23 +0000 2021,0,b'1351757442653294592'
0,WordPress.com,"b'Pfizer, BioNTech and Moderna to rake in $15bn from COVID-19 vaccines sales by\xc2\xa02023 https://t.co/foZIq1EWei'","London, England",,False,Wed Jan 20 05:04:31 +0000 2021,0,b'1351757476568440837'
0,Twitter for Android,"b""'Stay at home and don't make unnecessary trips to crowded places,' he said.\n\n'Duduk di rumah, jangan pergi ke tempa\xe2\x80\xa6 https://t.co/jsNllNNhLq""",cheese,,False,Wed Jan 20 05:04:40 +0000 2021,1,b'1351757512891011072'
1,Hocalwire Social Share,"b'COVID 19: Telangana reports 267 fresh COVID cases, active cases drop below 4000 #Telangana #COVID #COVID19\xe2\x80\xa6 https://t.co/ivqyXHbT6l'",,,False,Wed Jan 20 05:05:02 +0000 2021,0,b'1351757604859514881'
0,Twitter for Android,b'@sisiphomguni @hyenamonafils Post Covid-19 \xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83 or rather come pick me up by the boarder',🇿🇦,sisiphomguni,False,Wed Jan 20 05:04:47 +0000 2021,0,b'1351757545493377024'
10,Twitter for iPhone,b'How COVID-19 disrupted Pakistan\xe2\x80\x99s education system https://t.co/U7QDCbAyb8',Worldwide,,False,Wed Jan 20 05:04:35 +0000 2021,4,b'1351757492389359616'
1,Twitter for iPad,"b'As usual, @GovRonDeSantis is as moronic in his policies as ever. Didn\xe2\x80\x99t order enough vaccine so FL residents will a\xe2\x80\xa6 https://t.co/NaAiaDeXOd'",United States,,False,Wed Jan 20 05:04:40 +0000 2021,0,b'1351757512614289408'
0,WordPress.com,b'ITV viewers fume at government\xe2\x80\x99s handling of coronavirus as Outbreak documentary\xc2\xa0airs https://t.co/3TmCGSIUjK',,,False,Wed Jan 20 05:05:21 +0000 2021,0,b'1351757685264437249'
0,Flamingo for Android,b'Love this bot https://t.co/Ttdo2dnCck',"Christchurch, New Zealand",,False,Wed Jan 20 05:04:59 +0000 2021,0,b'1351757595464265728'
14,Twitter for iPhone,"b'I wonder to what extent B117 is responsible for the surge of cases we are seeing in #California, particularly Los A\xe2\x80\xa6 https://t.co/2qZEDhsDse'",,,False,Wed Jan 20 05:04:44 +0000 2021,6,b'1351757531375423495'
0,Twitter Web App,"b'@cnnphilippines 1. ending UP-DND accord: from cory,fvr,erap,gloria &amp; noynoy npa/ccp/ndf down to a hundreds. today 1\xe2\x80\xa6 https://t.co/ZNtZYT7PQB'",,cnnphilippines,False,Wed Jan 20 05:04:34 +0000 2021,0,b'1351757488845058049'
0,WordPress.com,b'Over 100 Zimbabweans die from COVID-19 in 48\xc2\xa0hrs https://t.co/QAYVgeVagN',"Harare, Zimbabwe",,False,Wed Jan 20 05:04:32 +0000 2021,0,b'1351757481215733764'
0,Twitter for Android,b'@Jazzman70910273 Spain Creates a List of Those Who  Refuse to Get COVID-19 Vaccine https://t.co/VBcUwRxJuP',"Toronto, Ontario",Jazzman70910273,False,Wed Jan 20 05:05:11 +0000 2021,1,b'1351757642851561472'
0,Twitter Web App,b'Allianz Risk Barometer 2021: Covid-19 trio tops global and Asia Pacific business risks https://t.co/jIZCs0hu4Q',"Kota Dumai, Riau",,False,Wed Jan 20 05:04:46 +0000 2021,0,b'1351757538060980225'
0,Twitter for Android,"b'Open SmartNews and read ""NC teacher dies from COVID-19 after contracting virus during Christmas break"" here:\xe2\x80\xa6 https://t.co/4ErH8l81xB'",,,False,Wed Jan 20 05:04:36 +0000 2021,0,b'1351757496894054401'
0,Hocalwire Social Share,"b'COVID 19: Telangana reports 267 fresh COVID cases, active cases drop below 4000 #Telangana #COVID #COVID19\xe2\x80\xa6 https://t.co/eWnPwaqVxn'",Hyderabad,,False,Wed Jan 20 05:04:52 +0000 2021,0,b'1351757564107661312'
2,Twitter for iPhone,b'India sends first shipment of #COVID19 vaccine to Bhutan. \n\n@MEAIndia \n@AsianetNewsEN https://t.co/3zjvpgDia0',Delhi,anishsingh21,False,Wed Jan 20 05:05:14 +0000 2021,2,b'1351757657112145920'
0,Twitter for Android,b'We are already paying a lot aowa banna. And gwa swana comrades are just going to misuse it aowa na ra di bona \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/D7FkU8FKsU',South Africa,,False,Wed Jan 20 05:04:58 +0000 2021,0,b'1351757591362359299'
18,Twitter for Android,"b'[20210120] Finally, we can see #NewYearBlues! #NewYearBlues is expected to be release this 10th February! \n\nPreviou\xe2\x80\xa6 https://t.co/1p1A0yTjzL'",,,False,Wed Jan 20 05:05:09 +0000 2021,5,b'1351757635029090308'
0,Twitter Web App,"b""Super excited the COVID vaccine rollout in CO has been extremely well tolerated! I've personally seen hundreds of N\xe2\x80\xa6 https://t.co/OoXCBrx0Qe""",Denver,,False,Wed Jan 20 05:05:00 +0000 2021,0,b'1351757599880962053'
0,Desygner Scheduler,b'Advanced Loans from $150-$6000 for qualified clients. Get the capital you need to take your business to the next le\xe2\x80\xa6 https://t.co/XO99VNeerk',,,False,Wed Jan 20 05:04:42 +0000 2021,0,b'1351757521355235328'
2,SocialFlow,"b'The Amazonian city of Manaus in Brazil began administering vaccines against the coronavirus, providing a ray of hop\xe2\x80\xa6 https://t.co/tPJpsWX389'","Rochester, NY",,False,Wed Jan 20 05:05:04 +0000 2021,1,b'1351757615315955716'
1,Twitter for iPad,"b'So, independent review panel struck by @WHO thinks borders should have been shut earlier in #COVID19 pandemic. Well\xe2\x80\xa6 https://t.co/Sz9brhKFGs'",Grande Prairie County No. 1,,False,Wed Jan 20 05:04:38 +0000 2021,0,b'1351757505009836033'
7,Twitter for Android,b'Teaching online Because of Covid-19\nAnd suddenly Covid-19 disappears when it comes to take Final examinations..\xf0\x9f\x98\x90\xf0\x9f\x98\x90\nk\xe2\x80\xa6 https://t.co/xtlWce7yME',اٹک،پاکستان,,False,Wed Jan 20 05:04:38 +0000 2021,3,b'1351757507446890499'
0,Twitter for iPhone,b'True. https://t.co/co94RTckva',"Wisconsin, USA",,False,Wed Jan 20 05:05:14 +0000 2021,0,b'1351757658022412289'
0,Twitter Web App,b'#Coronavirus #Global Cases by the Center for Systems\nScience &amp; Engineering #CSSE @ Johns #Hopkins Uni\n#JHU\n\nStand:\xe2\x80\xa6 https://t.co/wwi3ZDQz5L',based@coronaallee_berlin,,False,Wed Jan 20 05:04:34 +0000 2021,0,b'1351757490594177024'
0,Twitter for iPhone,b'That\xe2\x80\x99s who they are. It\xe2\x80\x99s how they roll. They need to be shut down and ostracized. https://t.co/VrHAOEqEwn',"Boston, MA",,False,Wed Jan 20 05:05:15 +0000 2021,0,b'1351757660752904192'
0,Twitter for Android,"b""@nikitasnezhko17 @BenRothenberg 1 athlete, the rest support staff but Novak's covid tour of Europe had a lot of the\xe2\x80\xa6 https://t.co/4rgoIC3stu""",The other side of the world,nikitasnezhko17,False,Wed Jan 20 05:04:27 +0000 2021,0,b'1351757459249979397'
0,Twitter for Android,b'\xf0\x9f\x93\x8dImportance of doing physical activity \xf0\x9f\x91\x87\n\n\xe2\x96\xb6\xef\xb8\x8fbenefits body and mind\n\xe2\x96\xb6\xef\xb8\x8freduces high blood pressure.\n\xe2\x96\xb6\xef\xb8\x8freduces risk of\xe2\x80\xa6 https://t.co/O9UiCTAwjf',Udhampur,,False,Wed Jan 20 05:04:35 +0000 2021,0,b'1351757494092230656'
2,Twitter Web App,"b'From the moment I saw this, my first thought was, ""Why haven\'t we had anything like this until now? We needed this.\xe2\x80\xa6 https://t.co/WB2o7Qbpa2'","Okaloosa County, FL",,False,Wed Jan 20 05:05:09 +0000 2021,0,b'1351757636103004161'
12,TweetDeck,"b'cw: uspol, coronavirus\n\nthe people who have had loved ones to mourn HAVE BEEN MOURNING, FOR MONTHS, in some cases b\xe2\x80\xa6 https://t.co/1ZkA0Q2owL'",occupied duwamish territory,vogon,False,Wed Jan 20 05:04:23 +0000 2021,1,b'1351757444033069056'
0,Dynamic Signal,"b'""For many, the stresses of the pandemic have resulted in burnout. While everyone has their own personal ways of cop\xe2\x80\xa6 https://t.co/MhuwYxSejQ'","Florida, USA",,False,Wed Jan 20 05:05:02 +0000 2021,0,b'1351757607401213953'
0,Twitter Web App,b'Experts reveal 2 things you can do to potentially make your coronavirus vaccine work better https://t.co/dGKQzYnY2j',"Santa Rosa, CA",,False,Wed Jan 20 05:05:06 +0000 2021,0,b'1351757622949474304'
7,Twitter Web App,"b'V for vendetta is a movie where a virus killing 80,000 people leads to mass panic and the insertion of a dystopian\xe2\x80\xa6 https://t.co/VqMAFowBUw'","Adelaide, South Australia",,False,Wed Jan 20 05:05:20 +0000 2021,0,b'1351757683511103489'
0,"Cheap Bots, Done Quick!","b'North Carolina tells the news they are banning the use of masks after their Coronavirus numbers stayed under 100,000 for the week.'",,,False,Wed Jan 20 05:04:42 +0000 2021,0,b'1351757521363611649'
